CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Label,Cluster_Name,Heuristic_Segment
15090,6,15,2455.04464,4,3,3,10,3,Loyal Customers,Loyal Customers
15093,162,17,3385.3720300000004,2,3,3,8,3,Loyal Customers,Loyal Customers
15100,124,6,903.3599200000002,3,2,2,7,3,Loyal Customers,Potential Loyalists
15101,153,4,239.47688,2,1,1,4,2,At Risk Customers,Hibernating
15107,23,12,1320.45506,4,3,2,9,3,Loyal Customers,Potential Loyalists
15110,73,9,1914.5946000000001,3,2,3,8,3,Loyal Customers,Potential Loyalists
15111,346,9,2776.66088,1,2,3,6,0,Regular Customers,Hibernating
15139,151,4,265.51152,2,1,1,4,2,At Risk Customers,Hibernating
15144,33,10,3365.9105600000003,4,2,3,9,3,Loyal Customers,Potential Loyalists
15157,187,24,3003.03625,2,4,3,9,0,Regular Customers,Loyal Customers
15159,44,51,8016.874460000001,4,4,4,12,3,Loyal Customers,Champions
15160,188,3,365.95815,2,1,1,4,2,At Risk Customers,Hibernating
15164,167,5,413.60985,2,2,1,5,2,At Risk Customers,Hibernating
15165,355,12,2293.7833,1,3,3,7,0,Regular Customers,Loyal Customers
15167,85,14,2656.09912,3,3,3,9,3,Loyal Customers,Loyal Customers
15171,101,3,113.8228,3,1,1,5,2,At Risk Customers,New Customers
15174,93,1,530.70368,3,1,1,5,3,Loyal Customers,New Customers
15179,77,26,3863.70004,3,4,3,10,3,Loyal Customers,Loyal Customers
15180,283,6,564.5824,1,2,1,4,0,Regular Customers,Hibernating
15181,222,2,69.83239999999999,1,1,1,3,2,At Risk Customers,Hibernating
15189,33,7,1482.52286,4,2,2,8,3,Loyal Customers,Potential Loyalists
15192,257,9,987.60478,1,2,2,5,0,Regular Customers,Hibernating
15194,30,55,22583.63922,4,4,4,12,1,VIP Customers,Champions
15197,132,3,52.03328,3,1,1,5,2,At Risk Customers,New Customers
15199,6,1,157.4666,4,1,1,6,2,At Risk Customers,New Customers
15203,25,6,158.6792,4,2,1,7,2,At Risk Customers,Potential Loyalists
15204,188,7,358.62028000000004,2,2,1,5,2,At Risk Customers,Hibernating
15208,173,1,57.097840000000005,2,1,1,4,2,At Risk Customers,Hibernating
15211,256,8,1186.08373,1,2,2,5,0,Regular Customers,Hibernating
15213,71,9,629.96996,3,2,1,6,3,Loyal Customers,Potential Loyalists
15215,59,2,272.35392,3,1,1,5,2,At Risk Customers,New Customers
15218,73,15,2697.76026,3,3,3,9,3,Loyal Customers,Loyal Customers
15221,271,5,340.49490000000003,1,2,1,4,0,Regular Customers,Hibernating
15222,76,5,974.8800000000001,3,2,2,7,3,Loyal Customers,Potential Loyalists
15224,195,9,292.8923,2,2,1,5,2,At Risk Customers,Hibernating
15226,20,7,870.9400600000001,4,2,2,8,3,Loyal Customers,Potential Loyalists
15227,59,5,1057.9872,3,2,2,7,3,Loyal Customers,Potential Loyalists
15235,13,34,6895.8867,4,4,4,12,3,Loyal Customers,Champions
15240,28,11,2129.78914,4,3,3,10,3,Loyal Customers,Loyal Customers
15246,202,6,212.40496,2,2,1,5,2,At Risk Customers,Hibernating
15260,346,9,1748.9156600000001,1,2,2,5,0,Regular Customers,Hibernating
15262,96,9,1723.7129400000001,3,2,2,7,3,Loyal Customers,Potential Loyalists
15266,162,4,689.9428,2,1,2,5,2,At Risk Customers,Hibernating
15270,19,8,851.67808,4,2,2,8,3,Loyal Customers,Potential Loyalists
15271,159,16,3865.6501500000004,2,3,3,8,3,Loyal Customers,Loyal Customers
15279,179,7,1780.6017000000002,2,2,2,6,0,Regular Customers,Hibernating
15281,88,27,3582.29584,3,4,3,10,3,Loyal Customers,Loyal Customers
15288,259,10,2466.63576,1,2,3,6,0,Regular Customers,Hibernating
15290,119,7,515.405,3,2,1,6,2,At Risk Customers,Potential Loyalists
15291,79,13,987.9939199999999,3,3,2,8,3,Loyal Customers,Potential Loyalists
15296,113,30,6535.82704,3,4,4,11,3,Loyal Customers,Loyal Customers
15298,103,17,2009.9907,3,3,3,9,3,Loyal Customers,Loyal Customers
15299,337,1,375.04629,1,1,1,3,0,Regular Customers,Hibernating
15301,300,17,2998.27134,1,3,3,7,0,Regular Customers,Loyal Customers
15304,301,3,274.70374000000004,1,1,1,3,0,Regular Customers,Hibernating
15311,13,291,82073.78344,4,4,4,12,1,VIP Customers,Champions
15312,178,5,587.06687,2,2,1,5,2,At Risk Customers,Hibernating
15316,114,1,51.92,3,1,1,5,2,At Risk Customers,New Customers
15326,140,10,1738.9674400000001,2,2,2,6,3,Loyal Customers,Hibernating
15329,257,1,71.24270999999999,1,1,1,3,2,At Risk Customers,Hibernating
15332,270,17,2622.91244,1,3,3,7,0,Regular Customers,Loyal Customers
15339,70,32,5323.89112,3,4,4,11,3,Loyal Customers,Loyal Customers
15346,137,7,672.66628,2,2,1,5,3,Loyal Customers,Hibernating
15347,269,2,84.4762,1,1,1,3,2,At Risk Customers,Hibernating
15350,356,3,605.4539,1,1,1,3,0,Regular Customers,Hibernating
15351,321,24,23074.43632,1,4,4,9,0,Regular Customers,Loyal Customers
15353,287,4,1079.97742,1,1,2,4,0,Regular Customers,Hibernating
15356,222,58,9534.61654,1,4,4,9,1,VIP Customers,Loyal Customers
15358,29,69,11150.05664,4,4,4,12,1,VIP Customers,Champions
15361,234,5,474.61032,1,2,1,4,0,Regular Customers,Hibernating
15363,344,2,1163.17082,1,1,2,4,0,Regular Customers,Hibernating
15365,42,9,2081.9706,4,2,3,9,3,Loyal Customers,Potential Loyalists
15366,195,6,1297.7054400000002,2,2,2,6,0,Regular Customers,Hibernating
15370,137,2,72.62236,2,1,1,4,2,At Risk Customers,Hibernating
15373,63,16,2545.8391,3,3,3,9,3,Loyal Customers,Loyal Customers
15379,95,62,10355.07962,3,4,4,11,1,VIP Customers,Loyal Customers
15380,257,1,369.96539999999993,1,1,1,3,0,Regular Customers,Hibernating
15384,210,13,1617.60376,2,3,2,7,0,Regular Customers,At Risk
15392,194,10,1561.30088,2,2,2,6,0,Regular Customers,Hibernating
15394,199,15,2710.86738,2,3,3,8,0,Regular Customers,Loyal Customers
15395,108,6,885.5785999999999,3,2,2,7,3,Loyal Customers,Potential Loyalists
15415,37,38,7318.642400000001,4,4,4,12,3,Loyal Customers,Champions
15421,19,2,621.35426,4,1,1,6,3,Loyal Customers,New Customers
15422,93,4,321.34074,3,1,1,5,2,At Risk Customers,New Customers
15426,292,33,6573.708960000001,1,4,4,9,0,Regular Customers,Loyal Customers
15443,85,24,3337.7379,3,4,3,10,3,Loyal Customers,Loyal Customers
15447,127,5,684.4046599999999,3,2,2,7,3,Loyal Customers,Potential Loyalists
15448,35,21,4952.415800000001,4,3,4,11,3,Loyal Customers,Loyal Customers
15454,236,11,1762.94704,1,3,2,6,0,Regular Customers,At Risk
15456,204,12,1376.79096,2,3,2,7,0,Regular Customers,At Risk
15460,174,33,6620.0053100000005,2,4,4,10,3,Loyal Customers,Loyal Customers
15464,160,68,13736.56722,2,4,4,10,1,VIP Customers,Loyal Customers
15465,88,11,1520.67312,3,3,2,8,3,Loyal Customers,Potential Loyalists
15468,223,1,2.6312000000000006,1,1,1,3,2,At Risk Customers,Hibernating
15482,202,5,231.69609999999997,2,2,1,5,2,At Risk Customers,Hibernating
15485,147,12,2552.63131,2,3,3,8,3,Loyal Customers,Loyal Customers
